,open,high,low,close,volume,000001.SS,AAPL,CL=F,GC=F,HG=F,NVDA,^DJI,^GSPC,^N100,^N225,open_ch,high_ch,low_ch,close_ch,volume_ch,000001.SS_ch,AAPL_ch,CL=F_ch,GC=F_ch,HG=F_ch,NVDA_ch,^DJI_ch,^GSPC_ch,^N100_ch,^N225_ch
2014-09-19,-0.8663055332116282,-0.8670321426675903,-0.866911704005585,-0.8675632514062368,-0.9123909499200884,-2.4191601288897235,-1.058417804523884,1.660042726214689,-0.9580975886384783,-0.17406651039465093,-0.6175183421405208,-1.3686764624386383,-1.1985785064920296,-1.313550778877898,-1.3006922045832372,-2.044010394464,-2.0285184879454117,-1.9975992495436081,-1.988369358507001,0.10805350652383415,0.5285867458055493,-0.5993910049753751,-0.10677461864088206,-1.1303981694497274,-0.12446178201201001,-0.8073048424858401,0.05647083918019372,-0.08695786396647233,0.1015914267457924,1.4519529111708382
2014-09-20,-0.8676356267116375,-0.867232875752044,-0.8666642775725921,-0.8669264689193372,-0.9124428741276117,-2.4191601288897235,-1.058417804523884,1.660042726214689,-0.9580975886384783,-0.17406651039465093,-0.6175183421405208,-1.3686764624386383,-1.1985785064920296,-1.313550778877898,-1.3006922045832372,-1.9800967980562474,-0.38866262022443576,0.33141088715543177,0.9297321184434174,-0.2198967085857463,-0.014565045692005688,-0.04851793657022611,0.012978139757343873,-0.030321072432964443,-0.011840219917533038,-0.07189579952457024,-0.030914244270002285,-0.035464892609514624,-0.0199945282035469,-0.02803869195299195
2014-09-21,-0.8670294696754228,-0.8677135910954449,-0.8665117797130664,-0.8673815768424618,-0.9129484726391786,-2.4191601288897235,-1.058417804523884,1.660042726214689,-0.9580975886384783,-0.17406651039465093,-0.6175183421405208,-1.3686764624386383,-1.1985785064920296,-1.313550778877898,-1.3006922045832372,0.8841318963401035,-0.8556293599762744,0.17844329566207603,-0.7395074921672876,-0.8657496276001053,-0.014565045692005688,-0.04851793657022611,0.012978139757343873,-0.030321072432964443,-0.011840219917533038,-0.07189579952457024,-0.030914244270002285,-0.035464892609514624,-0.0199945282035469,-0.02803869195299195
2014-09-22,-0.8674355476090958,-0.8679572661116771,-0.8663291799340317,-0.8672312282342364,-0.9130690522423892,-2.532333771285586,-1.0580356151938841,1.6108173150714304,-0.9542835048389273,-0.23971303665231825,-0.6176664651950747,-1.3831316227753927,-1.2133254619358984,-1.33253945229735,-1.3188345757710895,-0.667453186130752,-0.4738981075345334,0.22286997228308586,0.1728872822467691,-0.385577628036456,-1.5952725070039222,0.01839678014129545,-0.14966223171805304,0.12970316792758316,-1.4355448541626277,-0.4673500921277408,-0.7107724536639891,-0.9000283246861409,-0.4944247257828723,-0.6902919765986691
2014-09-23,-0.8673003234640881,-0.866425299401807,-0.8663723219734628,-0.8657128904919383,-0.912037947907802,-2.4755766382044393,-1.0519969246386849,1.613029726289331,-0.9436041943565583,-0.24426309355178005,-0.6177288331393854,-1.3989032140234134,-1.2238707983240142,-1.396543705950582,-1.3188345757710895,0.15029678777936223,2.5779459543540666,-0.1245518801405662,2.2540053741014385,2.087332767228847,0.7918714311114904,1.0077057809429064,0.020359014738413582,0.41718924598339147,-0.1121595909135891,-0.2400785542709146,-0.7773115892811326,-0.658695958329307,-1.6261925658296807,-0.02803869195299195
2014-09-24,-0.8657790994167768,-0.8666660997460081,-0.8652193416915803,-0.8662809754420718,-0.9127494683570355,-2.378779460579094,-1.0553984592462844,1.6816132081213455,-0.9497067905140267,-0.21176463524759323,-0.6176430780291421,-1.3780845131578583,-1.2096547301473424,-1.358971537348216,-1.324886285256156,2.2619169219838207,-0.44202527341811343,1.7056178580970816,-0.8562085369965067,-0.9735810280093505,1.3489612196775234,-0.6343197024712373,0.2416810810257814,-0.2851671925980332,0.7055102570347073,0.16033681292900434,0.9610874458735579,0.8095884604259993,0.9371242343406687,-0.25051627880354943
2014-09-25,-0.8663483326286509,-0.8672229696052323,-0.8657586785680011,-0.8668059544888999,-0.9129369530465048,-2.3744106815748034,-1.0702276210281882,1.6666795378940957,-0.9430957740063252,-0.21111471567003234,-0.6179627131628885,-1.4137644848576338,-1.23923110679033,-1.4058102651161977,-1.292355253520847,-0.8582619069142897,-0.9545966461081947,-0.8351263142226811,-0.8175763075519906,-0.4684901219366791,0.04608637869905856,-2.624688472158323,-0.03615523094970129,0.24630055712401058,0.00238847024590827,-0.9324641913721189,-1.7158166303988704,-1.7799258116386971,-1.2026866521490598,1.170736273018546
2014-09-26,-0.8668783372942661,-0.8676025005419693,-0.8661960566926784,-0.8671286344212338,-0.9132001681183698,-2.366934408701348,-1.0592204108646368,1.722541760716761,-0.9611490419126796,-0.25141251883321764,-0.6179315287260567,-1.3911691824197223,-1.2237976071726748,-1.3789730018287936,-1.3150634968028598,-0.8252659651501625,-0.6878112314786059,-0.7062814405881667,-0.5380548697245457,-0.6617727971342422,0.08915984661804835,1.9394990073481684,0.19730713220439577,-0.7841071428573515,-0.8939359309973537,0.013923210712027104,1.0527349305498857,0.8897872265930369,0.6651597164051569,-0.8542790556136253
2014-09-27,-0.867234158221801,-0.867970223729598,-0.866317989786755,-0.8673500277400998,-0.9135163792164533,-2.366934408701348,-1.0592204108646368,1.722541760716761,-0.9611490419126796,-0.25141251883321764,-0.6179315287260567,-1.3911691824197223,-1.2237976071726748,-1.3789730018287936,-1.3150634968028598,-0.5876095065679231,-0.6808590812940586,-0.24349615687175885,-0.39317969501596295,-0.9190545043621923,-0.014565045692005688,-0.04851793657022611,0.012978139757343873,-0.030321072432964443,-0.011840219917533038,-0.07189579952457024,-0.030914244270002285,-0.035464892609514624,-0.0199945282035469,-0.02803869195299195
2014-09-28,-0.8674187801019982,-0.8682181432733129,-0.8673833468410027,-0.86835832625238,-0.913094338313717,-2.366934408701348,-1.0592204108646368,1.722541760716761,-0.9611490419126796,-0.25141251883321764,-0.6179315287260567,-1.3911691824197223,-1.2237976071726748,-1.3789730018287936,-1.3150634968028598,-0.3378811709709782,-0.4871198847924091,-1.6840956379138476,-1.6034056448626233,1.3207324684734454,-0.014565045692005688,-0.04851793657022611,0.012978139757343873,-0.030321072432964443,-0.011840219917533038,-0.07189579952457024,-0.030914244270002285,-0.035464892609514624,-0.0199945282035469,-0.02803869195299195
